system,source_file,total_pins,AI,DI,FI,SENT,CURR,RES,TEMP,PWM,PWM_HS,PWM_LS,DO,DO_HS,DO_LS,CAN,LIN,ETH,SUP,SENS_SUP,GND,INOUT,OTHER
HYD_HDA8400_Press_Ana,HYD_HDA8400_Press_Ana.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_HDA8700_Press_Ana,HYD_HDA8700_Press_Ana.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_HIT1000_Sta_Incl_CAN,HYD_HIT1000_Sta_Incl_CAN.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_HIT1500_Dyn_Incl_CAN,HYD_HIT1500_Dyn_Incl_CAN.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_HLT1100_Lin_Pos_Ana,HYD_HLT1100_Lin_Pos_Ana.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_HLT1300_Cyl_Multi_CAN,HYD_HLT1300_Cyl_Multi_CAN.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_HNT1000_Lvl_Ana,HYD_HNT1000_Lvl_Ana.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_HTT1200_Temp_CAN,HYD_HTT1200_Temp_CAN.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_PDR10830_Prop_Press_Vlv,HYD_PDR10830_Prop_Press_Vlv.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_Prop_Vlv_Coil_12V_DC_PWM,HYD_Prop_Vlv_Coil_12V_DC_PWM.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_Prop_Vlv_Coil_24V_DC_PWM,HYD_Prop_Vlv_Coil_24V_DC_PWM.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_PWK10120V_Prop_Flow_Vlv,HYD_PWK10120V_Prop_Flow_Vlv.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_Sol_Coil_12PN_2_8_50_2345,HYD_Sol_Coil_12PN_2_8_50_2345.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_Sol_Coil_12PN_5_1_50_2345,HYD_Sol_Coil_12PN_5_1_50_2345.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_Sol_Coil_12PU_5_1_50_2345,HYD_Sol_Coil_12PU_5_1_50_2345.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_Sol_Coil_24PN_18_50_2345,HYD_Sol_Coil_24PN_18_50_2345.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_Sol_Coil_24PU_18_50_2345,HYD_Sol_Coil_24PU_18_50_2345.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_Sol_Coil_24PU_19_2_50_2345_UL_V0,HYD_Sol_Coil_24PU_19_2_50_2345_UL_V0.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYD_WS10Z_Sol_Dir_Vlv,HYD_WS10Z_Sol_Dir_Vlv.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYDAC_Selected_Sensor_Examples,HYDAC_Example_Sensors.eec-system-1.4.json,36,2,4,0,0,3,0,0,0,0,0,0,0,0,6,0,0,10,0,11,0,0
Hydraulic_Rear_Hitch_Control,Hydraulic_Rear_Hitch_Control.eec-component-1.0.json,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
